source,category,width,height,off_grid,strategy,slices_written,padded_slices,manual_review,notes,output_dir
assets/sprites/bosses/_imports/spr_boss_import_dracula_final_fantasy_6_style.png,bosses,576,400,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_frog_champ_battler.png,bosses,864,576,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_frog_champ_battler_2.png,bosses,1296,864,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_frog_champ_battler_noshadow.png,bosses,432,288,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_frog_champ_battler_noshadow_2.png,bosses,864,576,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_frog_champ_battler_noshadow_3.png,bosses,1296,864,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters.png,bosses,1322,200,yes,components_alpha,16,16,no,component_count=16,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters
assets/sprites/characters/_imports/spr_character_import_2k8chars_1.png,characters,312,288,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/characters/_slices/spr_character_import_2k8chars_1
assets/sprites/characters/_imports/spr_character_import_2k8chars_2.png,characters,624,576,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_2k8chars_3.png,characters,936,864,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/characters/_slices/spr_character_import_2k8chars_3
assets/sprites/characters/_imports/spr_character_import_animchar_smoke.png,characters,192,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_smoke_2.png,characters,576,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_smoke_3.png,characters,384,512,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_steam.png,characters,192,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_steam_2.png,characters,576,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_steam_3.png,characters,384,512,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_steampunk1.png,characters,192,128,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_steampunk1_2.png,characters,576,384,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/characters/_imports/spr_character_import_animchar_steampunk1_3.png,characters,384,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
